ei	numCTs	pathway_name	gene_symbol	numVariantsAssociatedToGene	gp_class_names	pli	geneDescription	year_initial	year_final	num_pmids_evid	numDiseasesAssociatedToGene	num_pmid_assoc	pathway_id	score	gene_ncbi	gene_ensembl	gene_type	number_chem_evidence	genep_str_ids	dsi	dpi	num_var_dis
0.9038461538461539	2	Signal Transduction	HTR1A	1	G-protein coupled receptor	2.3419E-4	5-hydroxytryptamine receptor 1A	2013	2014	30	29	5	R-HSA-162582	0.95	3350	ENSG00000178394	protein-coding	13	P08908	0.47	0.91	0
0.8306451612903226	68	Signal Transduction,Disease,Immune System,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli	IL6	7		0.19935	interleukin 6	2011	2014	45	209	5	R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-74160,R-HSA-8953897	0.95	3569	ENSG00000136244	protein-coding	58	P05231	0.23	1.0	0
0.8716417910447761	64	Signal Transduction,Disease,Gene expression (Transcription)	BDNF	35	Signaling	0.99974	brain derived neurotrophic factor	2012	2015	63	54	5	R-HSA-162582,R-HSA-1643685,R-HSA-74160	0.95	627	ENSG00000176697	protein-coding	46	P23560	0.33	0.96	0
0.8555555555555555	6	Neuronal System	SLC6A4	97	Transporter	0.99985	solute carrier family 6 member 4	2014	2015	57	59	4	R-HSA-112316	0.95	6532	ENSG00000108576	protein-coding	23	P31645	0.41	0.96	0
0.7641509433962265	44	Immune System	CRP	1		5.414E-4	C-reactive protein	2012	2012	38	65	2	R-HSA-168256	0.95	1401	ENSG00000132693	protein-coding	45	P02741	0.25	1.0	0
1.0	4	Neuronal System,Signal Transduction	GRM5	49	G-protein coupled receptor	0.99953	glutamate metabotropic receptor 5	2010	2014	5	14	3	R-HSA-112316,R-HSA-162582	0.9	2915	ENSG00000168959	protein-coding	6	P41594	0.48	0.91	13
0.9111111111111111	2	Signal Transduction,Gene expression (Transcription)	CRH	1	Signaling	0.0059146	corticotropin releasing hormone	2010	2013	19	43	5	R-HSA-162582,R-HSA-74160	0.85	1392	ENSG00000147571	protein-coding	12	P06850	0.43	0.91	0
0.9666666666666667	4	Metabolism,Drug ADME	CYP2C19	8		4.4942E-22	cytochrome P450 family 2 subfamily C member 19	1996	2013	14	33	5	R-HSA-1430728,R-HSA-9748784	0.85	1557	ENSG00000165841	protein-coding	12	P33261	0.42	0.96	0
0.9722222222222222	5	Metabolism,Drug ADME	CYP2D6	9		7.7866E-23	cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene)	2011	2014	22	45	5	R-HSA-1430728,R-HSA-9748784	0.85	1565	ENSG00000100197	protein-coding	19	P10635	0.41	0.96	2
0.9032258064516129	2	Signal Transduction,Disease,Metabolism of proteins,Gene expression (Transcription),Cellular responses to stimuli	NR3C1	118	Nuclear receptor	1.0	nuclear receptor subfamily 3 group C member 1	2014	2015	5	45	5	R-HSA-162582,R-HSA-1643685,R-HSA-392499,R-HSA-74160,R-HSA-8953897	0.85	2908	ENSG00000113580	protein-coding	7	P04150	0.37	0.96	0
