Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
A2ML1	"CPAMD9, FLJ25179, p170"	ENSG00000166535	"Alpha-2-macroglobulin like 1"	A8K2U0	12	8822621-8887001	"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"esophagus: 540.7;vagina: 198.6"	"Group enriched"	"Detected in some"	5	"Squamous epithelial cells: 157.1;Suprabasal keratinocytes: 477.0"	"Cell type enhanced"	"Detected in all"		"astrocyte: 43.2;ependymal cell: 38.6"	"Cancer enhanced"	"Detected in many"		"Head and Neck Squamous Cell Carcinoma (TCGA): 82.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"head and neck cancer: 13.2"	"Minor Salivary Gland - Minor salivary gland basal cells, Testis - Sertoli cells"					"Low region specificity"	"Detected in many"			"HPA038847, HPA038848"	Enhanced				"Secreted in other tissues"	"Enzyme inhibitor"	NA	NA		15000000		"Cluster 29: Squamous epithelium - Innate immune response"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 59: Suprabasal keratinocytes - Cornification"	33			"HPA038847: AB_2676236, HPA038848: AB_10672654"	"unprognostic (3.18e-2)"	"unprognostic (1.02e-1)"	"unprognostic (8.57e-2)"	"unprognostic (1.08e-1)"			"unprognostic (3.00e-1)"	"unprognostic (3.53e-1)"	"unprognostic (1.25e-2)"						"unprognostic (2.80e-3)"	"unprognostic (1.21e-3)"		"unprognostic (3.36e-3)"	"unprognostic (1.20e-1)"	"unprognostic (2.17e-1)"	"unprognostic (6.82e-2)"	"validated prognostic unfavorable (8.89e-4)"	"validated prognostic unfavorable (3.17e-4)"			"unprognostic (4.07e-2)"	"unprognostic (5.66e-2)"	"unprognostic (2.07e-1)"	"unprognostic (2.11e-1)"		"unprognostic (2.71e-1)"
ABCC12	MRP9	ENSG00000140798	"ATP binding cassette subfamily C member 12"		16	48080882-48156018	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Group enriched"	"Detected in some"	4	"brain: 1.4;skeletal muscle: 1.4;testis: 2.8"	"Group enriched"	"Detected in some"	4	"Early spermatids: 4.6;Excitatory neurons: 5.0;Late spermatids: 3.2;Spermatocytes: 4.9"	"Cell type enhanced"	"Detected in some"		"deep-layer intratelencephalic: 7.9;hippocampal CA1-3: 13.9"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Skeletal muscle - Skeletal myocytes, Skin - Outer root sheath cells, Testis - Early spermatids"	"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			HPA043100	Uncertain						NA	NA				"Cluster 44: Testis - Spermatogenesis"	"Cluster 34: Non-specific - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"				"HPA043100: AB_10794922"			"unprognostic (1.44e-1)"																												
ABCG4	WHITE2	ENSG00000172350	"ATP binding cassette subfamily G member 4"	Q9H172	11	119149052-119162653	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"brain: 22.3;retina: 50.4"	"Group enriched"	"Detected in some"	4	"Bipolar cells: 14.2;Cone photoreceptor cells: 54.4;Rod photoreceptor cells: 45.4"	"Cell type enhanced"	"Detected in many"		"cerebellar inhibitory: 27.6"	"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Neuroblastoma: 1.4"	"Colon - Colon enteroendocrine cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA057635	Enhanced						NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 66: Photoreceptor cells - Visual perception"	5			"HPA057635: "																													"unprognostic (2.68e-1)"		
ABHD12B	"BEM46L3, C14orf29"	ENSG00000131969	"Abhydrolase domain containing 12B"	Q7Z5M8	14	50872053-50904970	"Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"brain: 6.6;retina: 13.9;skin 1: 10.1"	"Cell type enriched"	"Detected in some"	5	"Muller glia cells: 165.0"	"Cell type enhanced"	"Detected in many"		"medium spiny neuron: 29.7;thalamic excitatory: 39.1"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	4	"eosinophil: 1.0;neutrophil: 2.2"	"Lineage enriched"	"Detected in single"	6	"granulocytes: 2.2"	"Cancer enriched"	"Detected in some"	5	"cervical cancer: 5.6"	"Adipose visceral - Mesothelial cells, Kidney - Podocytes, Skin - Keratinocyte (granular), Spleen - Neutrophils"	"Region enriched"	"Detected in single"	5	"thalamus: 2.1"	"Low region specificity"	"Detected in many"			HPA002873	Uncertain		Uncertain	Nucleoplasm			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 39: Retina & Testis - Cilium"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 32: Non-specific - Cell proliferation"	"Cluster 10: Muller glia cells - Visual perception"		Nucleoplasm		"HPA002873: AB_2220573"			"unprognostic (9.85e-2)"		"unprognostic (7.12e-2)"	"unprognostic (7.46e-2)"															"unprognostic (7.74e-2)"		"unprognostic (1.50e-2)"			"unprognostic (1.40e-2)"			"unprognostic (5.11e-2)"		
ACAN	"AGC1, CSPG1, CSPGCP, MSK16"	ENSG00000157766	Aggrecan	P16112	15	88803436-88875353	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"			"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"seminal vesicle: 3.0"	"Cell type enriched"	"Detected in some"	16	"Extravillous trophoblasts: 152.8"	"Cell type enriched"	"Detected in some"	4	"committed oligodendrocyte precursor: 70.7"	"Cancer enhanced"	"Detected in many"		"Kidney Renal Clear Cell Carcinoma (TCGA): 13.7"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"Bone cancer: 7.5;skin cancer: 8.0"	"Adipose visceral - Smooth muscle cells, Adrenal gland - Smooth muscle cells, Heart muscle - Smooth muscle cells, Pituitary gland - Smooth muscle cells, Testis - Spermatocytes, Testis - Spermatogonia, Thyroid gland - Smooth muscle cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"CAB016377, HPA038241, HPA038242"	Enhanced				"Secreted to extracellular matrix"	"No annotated function"	NA	NA		67000000		"Cluster 64: Neuronal - Transcription"	"Cluster 1: Neurons - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 4: Extravillous trophoblasts - Unknown function"	1			"CAB016377: AB_626650, HPA038241: AB_2675909, HPA038242: AB_2675910"	"unprognostic (2.39e-1)"	"unprognostic (6.50e-3)"	"unprognostic (8.70e-2)"	"unprognostic (2.96e-2)"	"unprognostic (1.75e-1)"	"unprognostic (1.16e-1)"	"unprognostic (5.22e-3)"	"unprognostic (1.17e-1)"	"unprognostic (1.98e-1)"	"unprognostic (5.92e-2)"	"unprognostic (1.66e-1)"	"unprognostic (1.01e-3)"	"potential prognostic unfavorable (9.30e-8)"		"unprognostic (6.89e-3)"	"unprognostic (3.24e-2)"		"unprognostic (2.58e-1)"				"unprognostic (5.31e-1)"	"unprognostic (2.05e-1)"		"unprognostic (7.26e-2)"	"unprognostic (1.41e-1)"	"unprognostic (4.44e-3)"	"unprognostic (4.06e-2)"	"unprognostic (6.16e-2)"	"unprognostic (4.47e-2)"	"unprognostic (2.98e-2)"
ACBD7	"bA455B2.2, FLJ38219"	ENSG00000176244	"Acyl-CoA binding domain containing 7"	Q8N6N7	10	15075475-15088776	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"brain: 39.3"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 26.6;Ciliated cells: 8.3;Early spermatids: 7.9;Serous glandular cells: 5.8;Spermatocytes: 7.9"	"Cell type enhanced"	"Detected in many"		"astrocyte: 31.9;bergmann glia: 40.3;ependymal cell: 21.2"	"Cancer enhanced"	"Detected in many"		"Uterine Corpus Endometrial Carcinoma (TCGA): 15.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Region enriched"	"Detected in all"	5	"olfactory bulb: 17.6"	"Low region specificity"	"Detected in all"			"HPA043326, HPA062478"			Approved	Vesicles,Cytosol			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 47: Astrocytes - Unknown function"	2	"Vesicles, Cytosol"		"HPA043326: AB_2678429, HPA062478: AB_2684777"	"unprognostic (3.61e-3)"	"unprognostic (5.67e-2)"	"unprognostic (1.41e-1)"	"unprognostic (4.50e-2)"	"unprognostic (9.63e-3)"	"unprognostic (3.31e-2)"	"unprognostic (9.81e-2)"	"unprognostic (4.40e-3)"	"unprognostic (2.90e-2)"				"unprognostic (3.07e-2)"			"unprognostic (3.96e-2)"	"unprognostic (1.38e-1)"	"unprognostic (4.32e-2)"	"unprognostic (6.11e-2)"	"unprognostic (5.74e-2)"	"unprognostic (1.31e-1)"	"unprognostic (3.61e-2)"	"unprognostic (3.18e-2)"	"unprognostic (3.64e-1)"	"unprognostic (2.50e-1)"	"unprognostic (3.45e-3)"		"unprognostic (2.16e-1)"	"unprognostic (1.61e-1)"	"unprognostic (2.81e-1)"	"unprognostic (1.22e-1)"
ACP7	"FLJ16165, PAPL, PAPL1"	ENSG00000183760	"Acid phosphatase 7, tartrate resistant (putative)"	Q6ZNF0	19	39083913-39111493	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 10.2;skin 1: 5.8"	"Cell type enriched"	"Detected in some"	5	"Oligodendrocytes: 10.0"	"Cell type enhanced"	"Detected in some"		"oligodendrocyte: 12.6;upper rhombic lip: 18.8"	"Group enriched"	"Detected in some"	6	"Bladder Urothelial Carcinoma (TCGA): 1.9;Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 1.1;Head and Neck Squamous Cell Carcinoma (TCGA): 3.7;Lung Squamous Cell Carcinoma (TCGA): 4.0;Skin Cuteneous Melanoma (TCGA): 1.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Pituitary gland - Gonadotropes, Skin - Keratinocyte (granular)"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			HPA042613	Uncertain				"Secreted - unknown location"	Enzyme	NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 26: Oligodendrocytes - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 51: Oligodendrocytes - Unknown function"	9			"HPA042613: AB_10963214"	"unprognostic (3.26e-2)"			"unprognostic (2.20e-1)"					"unprognostic (1.95e-1)"									"unprognostic (1.44e-1)"	"unprognostic (7.26e-2)"								"unprognostic (2.51e-1)"				
ACRV1	"D11S4365, SP-10, SPACA2"	ENSG00000134940	"Acrosomal vesicle protein 1"	P26436	11	125671522-125680874	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	33	"testis: 113.4"	"Group enriched"	"Detected in some"	69	"Early spermatids: 1033.1;Late spermatids: 374.0"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Spleen - Mitotic cells (Spleen), Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA038718, HPA038719"	Enhanced		Supported	Acrosome	"Secreted in male reproductive system"	"No annotated function"	NA	NA				"Cluster 42: Testis - Spermatogenesis"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 35: RS4;11 - Unknown function"	"Cluster 21: Early spermatids - Spermatogenesis"	3	Acrosome		"HPA038718: AB_2676171, HPA038719: AB_10670787"			"unprognostic (2.67e-1)"				"unprognostic (5.02e-2)"	"potential prognostic favorable (2.66e-4)"																					"unprognostic (4.10e-1)"		
ACSBG1	"BG1, BGM, FLJ30320, hBG1, hsBG, KIAA0631, MGC14352"	ENSG00000103740	"Acyl-CoA synthetase bubblegum family member 1"	Q96GR2	15	78167468-78245688	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"brain: 39.3;skin 1: 13.9"	"Cell type enriched"	"Detected in some"	4	"Astrocytes: 149.9"	"Group enriched"	"Detected in many"	9	"astrocyte: 420.1;bergmann glia: 151.9;oligodendrocyte: 243.7"	"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 16.2"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	4	"plasmacytoid DC: 1.0"	"Lineage enriched"	"Detected in single"	4	"dendritic cells: 1.0"	"Cancer enhanced"	"Detected in some"		"Leukemia: 2.4"	"Lung - Respiratory ciliated cells, Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041642, CAB045955, HPA058869"	Approved		Approved	Vesicles			NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 47: Astrocytes - Unknown function"		Vesicles		"CAB045955: AB_11124196, HPA041642: AB_2677593, HPA058869: AB_2683840"	"unprognostic (6.61e-2)"		"potential prognostic favorable (1.53e-5)"			"unprognostic (2.53e-1)"	"unprognostic (2.80e-2)"	"unprognostic (1.09e-1)"		"unprognostic (1.27e-1)"													"unprognostic (1.06e-1)"	"unprognostic (7.89e-2)"		"unprognostic (1.19e-1)"	"unprognostic (4.76e-2)"				"unprognostic (1.70e-1)"
ACSM2B	"ACSM2, HXMA, HYST1046"	ENSG00000066813	"Acyl-CoA synthetase medium chain family member 2B"	Q68CK6	16	20536226-20576427	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	331	"kidney: 399.0;liver: 510.9"	"Group enriched"	"Detected in some"	9	"Hepatocytes: 837.6;Proximal tubular cells: 400.7"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	77	"Kidney Renal Clear Cell Carcinoma (TCGA): 135.2;Kidney Renal Papillary Cell Carcinoma (TCGA): 85.4;Liver Hepatocellular Carcinoma (TCGA): 216.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"									HPA057699	Supported						NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 15: Non-specific - Transcription"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	1			"HPA057699: AB_2683506"		"potential prognostic unfavorable (4.32e-4)"		"unprognostic (9.47e-2)"		"unprognostic (8.61e-2)"	"unprognostic (1.23e-1)"				"potential prognostic favorable (8.87e-5)"	"unprognostic (2.19e-3)"	"unprognostic (9.09e-3)"	"validated prognostic favorable (1.50e-4)"	"validated prognostic favorable (7.01e-7)"	"unprognostic (4.18e-2)"	"unprognostic (1.55e-1)"			"unprognostic (1.88e-2)"		"unprognostic (3.93e-2)"	"unprognostic (4.22e-2)"			"unprognostic (1.27e-1)"		"unprognostic (1.29e-2)"			"unprognostic (3.13e-1)"
