Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
AMBN		ENSG00000178522	Ameloblastin	Q9NP70	4	70592256-70607288	"Disease related genes, Human disease related genes, Predicted secreted proteins"	Biomineralization		"Amelogenesis imperfecta"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.8"	"Cell type enhanced"	"Detected in single"		"Microglial cells: 1.8"	"Cell type enhanced"	"Detected in some"		"eccentric medium spiny neuron: 1.2;medium spiny neuron: 2.1"	"Group enriched"	"Detected in some"	13	"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 5.5;Uterine Corpus Endometrial Carcinoma (TCGA): 5.3"	"Region enhanced"	"Detected in single"		"basal ganglia: 2.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"colorectal cancer: 2.5;Rhabdoid: 7.4"		"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA036099			Uncertain	Nucleoplasm,Vesicles	"Secreted in other tissues"	Other	NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 33: Neurons - Mixed function"	"Cluster 40: Non-specific - Unknown function"	"Cluster 8: Neurons - Neuronal signaling"	5	Vesicles	Nucleoplasm	"HPA036099: "																															"unprognostic (7.37e-1)"
AMZ1	KIAA1950	ENSG00000174945	"Archaelysin family metallopeptidase 1"	Q400G9	7	2679522-2775500	"Enzymes, Predicted intracellular proteins"		"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	5	"brain: 5.0"	"Group enriched"	"Detected in some"	4	"Oligodendrocyte precursor cells: 98.1;Oocytes: 84.6"	"Group enriched"	"Detected in all"	4	"committed oligodendrocyte precursor: 104.8;oligodendrocyte precursor cell: 300.8"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"memory B-cell: 1.3"	"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in some"		"Kidney cancer: 4.8;thyroid cancer: 4.7"	"Pituitary gland - Gonadotropes, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA020233	Uncertain						NA	NA			"Cluster 17: B-cells - Immunoglobulins"	"Cluster 33: Brain - Neuronal signaling"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	17			"HPA020233: AB_1844818"		"unprognostic (7.04e-2)"	"unprognostic (7.27e-2)"			"unprognostic (2.38e-2)"	"unprognostic (9.22e-3)"	"unprognostic (1.02e-1)"				"unprognostic (8.13e-3)"											"unprognostic (9.53e-2)"			"unprognostic (8.71e-2)"					
ANKRD34C		ENSG00000235711	"Ankyrin repeat domain 34C"	P0C6C1	15	79282722-79298239	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.8"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 2.9;Horizontal cells: 1.3;Inhibitory neurons: 1.8"	"Cell type enhanced"	"Detected in many"		"mammillary body: 9.2;midbrain-derived inhibitory: 9.0;thalamic excitatory: 7.6"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose subcutaneous - Smooth muscle cells, Pancreas - Beta cells, Skeletal muscle - Smooth muscle cells, Thyroid gland - Smooth muscle cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA045329			Approved	Mitochondria			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 8: Neurons - Neuronal signaling"		Mitochondria		"HPA045329: AB_2679291"																															
ANKRD63		ENSG00000230778	"Ankyrin repeat domain 63"	C9JTQ0	15	40278372-40283064	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	11	"brain: 3.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Region enhanced"	"Detected in many"		"basal ganglia: 34.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	5	"Bone cancer: 7.0"		"Region enhanced"	"Detected in many"		"basal ganglia: 56.7"	"Region enhanced"	"Detected in many"		"basal ganglia: 44.0"	HPA066743			Approved	Mitochondria			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 33: Neurons - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"		Mitochondria		"HPA066743: "																															
ARMCX5-GPRASP2		ENSG00000286237	"ARMCX5-GPRASP2 readthrough"		X	102712495-102753530	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Low tissue specificity"	"Detected in single"			"Group enriched"	"Detected in some"	100	"Astrocytes: 28.2;Excitatory neurons: 65.6;Inhibitory neurons: 71.2;Microglial cells: 23.3;Oligodendrocyte precursor cells: 47.2;Oligodendrocytes: 33.1"					"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												HPA000887			Uncertain	Nucleoplasm,Cytosol			NA	NA					"Cluster 37: Neurons - Mixed function"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 69: Neurons - Neuronal signaling"	4	Cytosol	Nucleoplasm	"HPA000887: AB_2666130"							"unprognostic (2.80e-1)"																								
BARHL1		ENSG00000125492	"BarH like homeobox 1"	Q9BZE3	9	132582606-132590252	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	295	"brain: 29.5"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	19	"lower rhombic lip: 34.0;upper rhombic lip: 17.7"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in many"		"pons: 72.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Group enriched"	"Detected in some"	5	"cerebellum: 3.2;midbrain: 2.4;pons and medulla: 1.1"	"Region enhanced"	"Detected in many"		"cerebellum: 8.6"								NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 11: Late spermatids - Unknown function"																																			
BTBD17	"BTBD17A, LGALS3BPL, TANGO10A"	ENSG00000204347	"BTB domain containing 17"	A6NE02	17	74356416-74361868	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	14	"brain: 7.4"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 4.0;Bipolar cells: 1.3;Gastric mucus-secreting cells: 1.8;Horizontal cells: 6.3;Late spermatids: 3.7;Muller glia cells: 1.6;Oligodendrocyte precursor cells: 3.3"	"Cell type enhanced"	"Detected in some"		"astrocyte: 11.5;bergmann glia: 30.9;oligodendrocyte precursor cell: 11.7"	"Cancer enriched"	"Detected in some"	5	"Glioblastoma Multiforme (TCGA): 15.8"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"Bone cancer: 10.9;lung cancer: 4.0"	"Adrenal gland - Adrenal medulla cells, Pituitary gland - Undifferentiated cells (Pituitary gland)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"HPA025022, HPA063875"	Approved		Approved	Cytosol	"Secreted in brain"	"No annotated function"	NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 36: Late spermatids - Unknown function"		Cytosol		"HPA025022: AB_2067352, HPA063875: "							"unprognostic (9.20e-2)"	"unprognostic (6.15e-2)"																					"unprognostic (3.07e-1)"		
CACNG8		ENSG00000142408	"Calcium voltage-gated channel auxiliary subunit gamma 8"	Q8WXS5	19	53962937-53990215	"FDA approved drug targets, Predicted membrane proteins, Transporters"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	41	"brain: 36.0"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 59.8;Horizontal cells: 40.3;Inhibitory neurons: 63.1;Oligodendrocyte precursor cells: 27.8;Skeletal myocytes: 13.7"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in single"		"Glioblastoma Multiforme (TCGA): 2.6"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	9	"basophil: 5.4"	"Lineage enriched"	"Detected in single"	29	"granulocytes: 5.4"	"Cancer enhanced"	"Detected in many"		"Rhabdoid: 12.8"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA041351	Enhanced						NA	NA			"Cluster 46: Basophils - Proteolysis"	"Cluster 33: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 69: Neurons - Neuronal signaling"				"HPA041351: AB_10796666"						"unprognostic (7.79e-2)"	"unprognostic (1.19e-1)"	"unprognostic (1.73e-2)"																		"unprognostic (2.25e-1)"					
CALHM1	FAM26C	ENSG00000185933	"Calcium homeostasis modulator 1"	Q8IU99	10	103453240-103458900	"Predicted membrane proteins, Transporters"	"Calcium transport, Ion transport, Sensory transduction, Taste, Transport"	"Calcium channel, Ion channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.0"	"Cell type enhanced"	"Detected in single"		"Excitatory neurons: 1.6"	"Cell type enhanced"	"Detected in some"		"mammillary body: 4.5"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Myeloma: 3.4"		"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA061816	Enhanced						NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 24: Neurons - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 34: Neurons - Neuronal signaling"	1			"HPA061816: "			"unprognostic (2.30e-2)"																												
CENPVL2	CENPVP2	ENSG00000283093	"Centromere protein V like 2"	P0DPI3	X	51681212-51682831	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	6	"brain: 4.7"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"																			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 12: Bone cancer - Neuronal signaling"																																				
